"Sample" "Label"
"1" "SRR7245968" "C9"
"2" "SRR7245969" "C9"
"3" "SRR7245970" "C9"
"4" "SRR7245971" "C9"
"5" "SRR7245972" "C9"
"6" "SRR7245974" "C9"
"7" "SRR7245975" "C9"
"8" "SRR7245978" "C9"
"9" "SRR7245982" "C9"
"10" "SRR7245983" "C9"
"11" "SRR7245984" "C9"
"12" "SRR7245985" "C9"
"13" "SRR7245987" "C9"
"14" "SRR7245988" "C9"
"15" "SRR7245989" "C9"
"16" "SRR7245991" "C9"
"17" "SRR7245994" "C9"
"18" "SRR7245995" "C9"
"19" "SRR7245996" "D6"
"20" "SRR7245997" "D6"
"21" "SRR7245998" "D6"
"22" "SRR7245999" "D6"
"23" "SRR7246000" "D6"
"24" "SRR7246001" "D6"
"25" "SRR7246002" "D6"
"26" "SRR7246003" "D6"
"27" "SRR7246004" "D6"
"28" "SRR7246005" "D6"
"29" "SRR7246006" "D6"
"30" "SRR7246007" "D6"
"31" "SRR7246008" "D6"
"32" "SRR7246009" "D6"
"33" "SRR7246010" "D6"
"34" "SRR7246011" "D6"
"35" "SRR7246012" "D6"
"36" "SRR7246013" "D6"
"37" "SRR7246014" "D6"
"38" "SRR7246015" "D6"
"39" "SRR7246016" "D6"
"40" "SRR7246017" "D6"
"41" "SRR7246018" "D6"
"42" "SRR7246019" "D6"
"43" "SRR7246020" "D6"
"44" "SRR7246021" "D6"
"45" "SRR7246022" "D6"
"46" "SRR7246023" "G10"
"47" "SRR7246024" "G10"
"48" "SRR7246025" "G10"
"49" "SRR7246027" "G10"
"50" "SRR7246028" "G10"
"51" "SRR7246029" "G10"
"52" "SRR7246030" "G10"
"53" "SRR7246031" "G10"
"54" "SRR7246032" "G10"
"55" "SRR7246033" "G10"
"56" "SRR7246034" "G10"
"57" "SRR7246035" "G10"
"58" "SRR7246036" "G10"
"59" "SRR7246037" "G10"
"60" "SRR7246038" "G10"
"61" "SRR7246039" "G10"
"62" "SRR7246040" "G10"
"63" "SRR7246041" "G10"
"64" "SRR7246042" "G10"
"65" "SRR7246043" "G10"
"66" "SRR7246044" "G10"
"67" "SRR7246045" "G10"
"68" "SRR7246046" "D6"
"69" "SRR7246047" "G10"
"70" "SRR7246048" "G10"
